City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Mumford,GH,78.94,scattered clouds,5.2618,-0.759,Spanish Villa
554,Tomatlan,MX,86.36,broken clouds,19.9333,-105.25,El Salvial
557,Cravo Norte,CO,80.28,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
563,Fomboni,KM,79.39,broken clouds,-12.28,43.7425,Auberge les abou
564,Ouesso,CG,71.22,scattered clouds,1.6136,16.0517,ABENIE Hotel
567,Qiongshan,CN,75.24,light rain,20.0058,110.3542,Sun City Restaurant
568,Pangkalanbuun,ID,73.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
569,Madang,PG,77.2,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
570,Biak,ID,76.21,broken clouds,-0.9131,122.8766,Penginapan Kim
574,Kiama,AU,78.28,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
577,Sabha,LY,72.03,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
578,Naukot,PK,77.54,clear sky,24.8587,69.4024,Rolak Sigrat Shop
581,Pekalongan,ID,74.01,overcast clouds,-6.8886,109.6753,Namira Syariah Hotel
584,Oum Hadjer,TD,87.22,few clouds,13.2954,19.6966,
586,Kampot,KH,76.91,scattered clouds,10.6167,104.1833,Two Moons Hotel
587,Port Moresby,PG,77.99,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
589,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
590,San Lorenzo,PY,92.34,clear sky,-25.3333,-57.5333,Hotel del Sur
594,Kavaratti,IN,80.31,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
595,Bubaque,GW,81.18,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
600,Mpanda,TZ,74.71,scattered clouds,-6.3655,31.0409,CH Hotel - Mpanda
610,Half Moon Bay,US,80.15,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
611,Gamba,GA,76.23,overcast clouds,-2.65,10.0,
615,Manamadurai,IN,76.68,moderate rain,9.7,78.4833,MRS Lodge
616,Rabaul,PG,80.98,broken clouds,-4.1967,152.1721,Rabaul Hotel
617,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
620,Pochutla,MX,88.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
621,Rosetta,EG,78.62,scattered clouds,31.4044,30.4164,Green Valley
630,Oussouye,SN,78.01,broken clouds,12.485,-16.5469,Auberge du Routard
634,Santa Maria,BR,74.62,clear sky,-29.6842,-53.8069,Hotel Morotin
636,The Valley,AI,82.81,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
638,Monterey,US,79.27,clear sky,36.2505,-121.2516,
639,Birao,CF,80.19,broken clouds,10.2849,22.7882,
643,Sibu,MY,73.56,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
649,Bagotville,AU,74.64,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
652,Korhogo,CI,79.21,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
653,Jalu,LY,74.25,few clouds,29.0331,21.5482,صاحبة الفخامة
656,Mto Wa Mbu,TZ,74.77,overcast clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
657,Grand-Santi,GF,86.04,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
659,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
661,Sao Domingos,BR,86.38,broken clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
665,Gorontalo,ID,75.0,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
