City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Muroto,JP,2021-10-26 03:36:55,33.2833,134.15,73.44,61,0,3.67
252,Leh,IN,2021-10-26 03:36:56,34.1667,77.5833,29.25,58,7,2.39
253,Athmallik,IN,2021-10-26 03:36:56,20.7219,84.5348,78.58,67,1,3.4
254,Lampa,CL,2021-10-26 03:36:56,-33.2833,-70.9,65.64,45,0,5.75
255,Luderitz,NA,2021-10-26 03:36:57,-26.6481,15.1594,55.27,91,2,2.13
256,Poum,NC,2021-10-26 03:36:57,-20.2333,164.0167,76.15,69,77,9.46
257,Jinchang,CN,2021-10-26 03:36:57,38.4953,102.1739,46.2,46,100,5.5
258,Hendala,LK,2021-10-26 03:36:58,6.9909,79.883,76.95,73,100,4.07
259,Mar Del Plata,AR,2021-10-26 03:34:02,-38.0023,-57.5575,57.87,79,0,18.99
260,Ormara,PK,2021-10-26 03:36:58,25.2088,64.6357,78.64,52,2,5.53
261,Sur,OM,2021-10-26 03:36:59,22.5667,59.5289,82.45,56,6,6.82
262,Lalin,ES,2021-10-26 03:36:59,42.7167,-8.1167,49.3,96,4,2.91
263,Hermosillo,MX,2021-10-26 03:36:06,29.0667,-110.9667,78.39,63,1,3.0
264,Mnogovershinnyy,RU,2021-10-26 03:37:00,53.9353,139.9242,41.67,70,14,3.24
265,Codroipo,IT,2021-10-26 03:37:00,45.96,12.9792,52.61,80,40,3.44
266,Deputatskiy,RU,2021-10-26 03:37:01,69.3,139.9,2.53,97,99,2.62
267,Buchanan,LR,2021-10-26 03:37:01,5.8808,-10.0467,76.96,91,100,4.7
268,Mantua,IT,2021-10-26 03:37:02,45.1667,10.7833,50.7,81,53,4.85
269,Shipunovo,RU,2021-10-26 03:37:02,52.1582,82.2173,47.82,50,100,7.27
270,Buala,SB,2021-10-26 03:37:03,-8.145,159.5921,85.05,68,98,8.12
271,Aykhal,RU,2021-10-26 03:37:03,66.0,111.5,14.2,91,35,8.7
272,Makaha,US,2021-10-26 03:37:04,21.4694,-158.2175,84.11,65,40,8.05
273,Jertih,MY,2021-10-26 03:37:04,5.7336,102.4897,85.91,65,27,5.59
274,Beatrice,US,2021-10-26 03:37:05,40.2681,-96.747,46.99,87,1,5.75
275,Tariba,VE,2021-10-26 03:37:05,7.8188,-72.2243,68.56,97,61,2.06
276,Astaneh-Ye Ashrafiyeh,IR,2021-10-26 03:36:39,37.2596,49.9444,53.53,92,100,10.02
277,Vila Do Maio,CV,2021-10-26 03:37:06,15.1333,-23.2167,77.79,82,100,11.72
278,Orcopampa,PE,2021-10-26 03:37:06,-15.2661,-72.3417,47.16,35,1,1.79
279,Abha,SA,2021-10-26 03:37:07,18.2164,42.5053,57.02,58,0,0.0
280,Ribeira Grande,PT,2021-10-26 03:37:07,38.5167,-28.7,69.21,77,26,22.64
281,Taikang,CN,2021-10-26 03:37:08,46.8333,124.4167,53.28,40,86,13.22
282,Kahului,US,2021-10-26 03:37:08,20.8947,-156.47,80.62,77,20,20.71
283,Ascension,US,2021-10-26 03:37:09,30.2169,-90.9001,73.99,96,1,0.0
284,Petropavlovsk-Kamchatskiy,RU,2021-10-26 03:37:09,53.0452,158.6483,45.19,61,75,6.71
285,Mayo,US,2021-10-26 03:37:10,38.8876,-76.5119,64.96,94,90,5.01
286,Katobu,ID,2021-10-26 03:37:10,-4.9408,122.5276,91.58,51,53,3.24
287,Fare,PF,2021-10-26 03:37:11,-16.7,-151.0167,74.05,92,100,7.38
288,Muisne,EC,2021-10-26 03:37:11,0.6,-80.0333,75.38,86,90,4.41
289,Guaiba,BR,2021-10-26 03:37:11,-30.1139,-51.325,63.18,88,0,0.0
290,Koungheul,SN,2021-10-26 03:37:12,13.9833,-14.8,78.67,72,100,5.35
291,Tiruttani,IN,2021-10-26 03:37:12,13.177,79.6128,81.39,62,74,5.06
292,Saint-Pierre,RE,2021-10-26 03:37:13,-21.3393,55.4781,75.18,65,0,1.14
